s,C,C
Time,"Back","Front"
 7.5100000E+002, 9.9594893E+001, 1.1478101E+002
 7.5300000E+002, 9.9692315E+001, 1.1480592E+002
 7.5550000E+002, 9.9801349E+001, 1.1483381E+002
 7.5750000E+002, 9.9909818E+001, 1.1486156E+002
 7.5950000E+002, 1.0000574E+002, 1.1488609E+002
 7.6150000E+002, 1.0010120E+002, 1.1491050E+002
 7.6400000E+002, 1.0020804E+002, 1.1493783E+002
 7.6600000E+002, 1.0031432E+002, 1.1496502E+002
 7.6800000E+002, 1.0040831E+002, 1.1498905E+002
 7.7050000E+002, 1.0051350E+002, 1.1501596E+002
 7.7250000E+002, 1.0061814E+002, 1.1504272E+002
 7.7450000E+002, 1.0071068E+002, 1.1506639E+002
 7.7650000E+002, 1.0080277E+002, 1.1508995E+002
 7.7900000E+002, 1.0090585E+002, 1.1511631E+002
 7.8100000E+002, 1.0100838E+002, 1.1514254E+002
 7.8300000E+002, 1.0109906E+002, 1.1516573E+002
 7.8550000E+002, 1.0120054E+002, 1.1519168E+002
 7.8750000E+002, 1.0130149E+002, 1.1521750E+002
 7.8950000E+002, 1.0139077E+002, 1.1524034E+002
 7.9200000E+002, 1.0149068E+002, 1.1526589E+002
 7.9400000E+002, 1.0159008E+002, 1.1529131E+002
 7.9600000E+002, 1.0167798E+002, 1.1531380E+002
 7.9800000E+002, 1.0176545E+002, 1.1533617E+002
 8.0050000E+002, 1.0186336E+002, 1.1536121E+002
 8.0250000E+002, 1.0196075E+002, 1.1538612E+002
 8.0450000E+002, 1.0204688E+002, 1.1540815E+002
 8.0700000E+002, 1.0214327E+002, 1.1543280E+002
 8.0900000E+002, 1.0223916E+002, 1.1545733E+002
 8.1100000E+002, 1.0232396E+002, 1.1547902E+002
 8.1300000E+002, 1.0240835E+002, 1.1550060E+002
 8.1550000E+002, 1.0250280E+002, 1.1552476E+002
 8.1750000E+002, 1.0259677E+002, 1.1554879E+002
 8.1950000E+002, 1.0267986E+002, 1.1557005E+002
 8.2200000E+002, 1.0277285E+002, 1.1559383E+002
 8.2400000E+002, 1.0286536E+002, 1.1561749E+002
 8.2600000E+002, 1.0294717E+002, 1.1563842E+002
 8.2800000E+002, 1.0302859E+002, 1.1565924E+002
 8.3050000E+002, 1.0311971E+002, 1.1568255E+002
 8.3250000E+002, 1.0321036E+002, 1.1570573E+002
 8.3450000E+002, 1.0329052E+002, 1.1572623E+002
 8.3700000E+002, 1.0338023E+002, 1.1574918E+002
 8.3900000E+002, 1.0346948E+002, 1.1577201E+002
 8.4100000E+002, 1.0354841E+002, 1.1579219E+002
 8.4300000E+002, 1.0362695E+002, 1.1581228E+002
 8.4550000E+002, 1.0371486E+002, 1.1583477E+002
 8.4750000E+002, 1.0380231E+002, 1.1585714E+002
 8.4950000E+002, 1.0387965E+002, 1.1587692E+002
 8.5200000E+002, 1.0396620E+002, 1.1589905E+002
 8.5400000E+002, 1.0405230E+002, 1.1592108E+002
 8.5600000E+002, 1.0412844E+002, 1.1594055E+002
 8.5800000E+002, 1.0420422E+002, 1.1595993E+002
 8.6050000E+002, 1.0428903E+002, 1.1598162E+002
 8.6250000E+002, 1.0437340E+002, 1.1600320E+002
 8.6450000E+002, 1.0444801E+002, 1.1602228E+002
 8.6700000E+002, 1.0453151E+002, 1.1604364E+002
 8.6900000E+002, 1.0461458E+002, 1.1606489E+002
 8.7100000E+002, 1.0468803E+002, 1.1608368E+002
 8.7350000E+002, 1.0477024E+002, 1.1610470E+002
 8.7550000E+002, 1.0485203E+002, 1.1612562E+002
 8.7750000E+002, 1.0492435E+002, 1.1614412E+002
 8.7950000E+002, 1.0499633E+002, 1.1616253E+002
 8.8200000E+002, 1.0507688E+002, 1.1618313E+002
 8.8400000E+002, 1.0515702E+002, 1.1620363E+002
 8.8600000E+002, 1.0522789E+002, 1.1622175E+002
 8.8850000E+002, 1.0530720E+002, 1.1624204E+002
 8.9050000E+002, 1.0538611E+002, 1.1626222E+002
 8.9250000E+002, 1.0545588E+002, 1.1628007E+002
 8.9450000E+002, 1.0552532E+002, 1.1629783E+002
 8.9700000E+002, 1.0560303E+002, 1.1631770E+002
