s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.4831834E+000, 3.3190696E+001,-8.1741588E+000,-2.2188187E+000,-2.9064081E-002, 3.8058536E-001, 0.0000000E+000, 0.0000000E+000, 2.3621343E+001, 2.3149240E+001, 7.1794279E-004, 7.1794279E-004
 1.5204085E+000, 3.7954595E+001,-9.2851261E+000,-2.2675604E+001,-3.2255793E-002, 3.7528858E-001, 0.0000000E+000, 0.0000000E+000, 6.9079707E+000, 6.3368983E+000, 7.2375628E-004, 7.2375628E-004
 1.5623913E+000, 4.0381826E+001,-1.0138880E+001,-3.0847703E+001,-4.8250497E-002, 3.7070505E-001, 0.0000000E+000, 0.0000000E+000,-1.5229112E-001,-2.8230246E-001, 7.2920216E-004, 7.2920216E-004
 1.6012893E+000, 3.9268205E+001,-9.6142800E+000,-3.1472773E+001,-1.1017274E-001, 3.7652275E-001, 0.0000000E+000, 0.0000000E+000,-1.5480516E+000,-1.5524975E+000, 7.3441114E-004, 7.3441114E-004
 1.6433755E+000, 3.8858558E+001,-9.1808847E+000,-2.9386859E+001,-1.2988294E-001, 3.8563662E-001, 0.0000000E+000, 0.0000000E+000, 5.6951915E-001, 5.4656740E-001, 7.3926302E-004, 7.3926302E-004
 1.6807909E+000, 3.2792141E+001,-7.7715515E+000,-3.0679701E+001,-1.4110336E-001, 3.9600042E-001, 0.0000000E+000, 0.0000000E+000,-4.8396548E+000,-5.4042139E+000, 7.4367067E-004, 7.4367067E-004
 1.7213415E+000, 3.1519485E+001,-7.3082770E+000,-3.0757468E+001,-1.1502333E-001, 4.0776625E-001, 0.0000000E+000, 0.0000000E+000,-6.4237902E+000,-6.2535173E+000, 7.4767323E-004, 7.4767323E-004
 1.7618922E+000, 3.5460738E+001,-8.5055569E+000,-2.5988139E+001,-5.4844231E-002, 4.2164208E-001, 0.0000000E+000, 0.0000000E+000, 7.5600288E-001, 1.3338404E+000, 7.5155533E-004, 7.5155533E-004
 1.8024428E+000, 4.5583522E+001,-1.1168310E+001,-2.9543036E+001,-2.6882690E-002, 4.2502485E-001, 0.0000000E+000, 0.0000000E+000, 5.2670636E+000, 5.2703182E+000, 7.5516354E-004, 7.5516354E-004
 1.8408723E+000, 5.0555316E+001,-1.2225260E+001,-4.0695561E+001,-3.4839049E-002, 4.2346958E-001, 0.0000000E+000, 0.0000000E+000,-2.1458259E+000,-1.9768741E+000, 7.5841606E-004, 7.5841606E-004
 1.8823899E+000, 4.7878619E+001,-1.1377429E+001,-3.0766331E+001,-5.8350608E-002, 4.2579477E-001, 0.0000000E+000, 0.0000000E+000, 5.7934611E+000, 6.1023029E+000, 7.6147233E-004, 7.6147233E-004
