s,C,C
Time,"Back","Front"
 1.8144000E+005, 1.0726387E+002, 1.4681189E+002
 1.8207000E+005, 1.0746428E+002, 1.4682684E+002
 1.8270000E+005, 1.0766375E+002, 1.4684172E+002
 1.8333000E+005, 1.0786228E+002, 1.4685654E+002
 1.8396000E+005, 1.0805988E+002, 1.4687128E+002
 1.8459000E+005, 1.0825655E+002, 1.4688596E+002
 1.8522000E+005, 1.0845230E+002, 1.4690056E+002
 1.8585000E+005, 1.0864714E+002, 1.4691510E+002
 1.8648000E+005, 1.0884106E+002, 1.4692957E+002
 1.8711000E+005, 1.0903407E+002, 1.4694397E+002
 1.8774000E+005, 1.0922618E+002, 1.4695830E+002
 1.8837000E+005, 1.0941739E+002, 1.4697257E+002
 1.8900000E+005, 1.0960770E+002, 1.4698676E+002
 1.8963000E+005, 1.0979711E+002, 1.4700090E+002
 1.9026000E+005, 1.0998564E+002, 1.4701496E+002
 1.9089000E+005, 1.1017329E+002, 1.4702896E+002
 1.9152000E+005, 1.1036006E+002, 1.4704290E+002
 1.9215000E+005, 1.1054595E+002, 1.4705677E+002
 1.9278000E+005, 1.1073097E+002, 1.4707057E+002
 1.9341000E+005, 1.1091512E+002, 1.4708431E+002
 1.9404000E+005, 1.1109841E+002, 1.4709798E+002
 1.9467000E+005, 1.1128084E+002, 1.4711159E+002
 1.9530000E+005, 1.1146241E+002, 1.4712514E+002
 1.9593000E+005, 1.1164313E+002, 1.4713862E+002
 1.9656000E+005, 1.1182301E+002, 1.4715204E+002
 1.9719000E+005, 1.1200204E+002, 1.4716540E+002
 1.9782000E+005, 1.1218023E+002, 1.4717869E+002
 1.9845000E+005, 1.1235759E+002, 1.4719192E+002
 1.9908000E+005, 1.1253411E+002, 1.4720509E+002
 1.9971000E+005, 1.1270981E+002, 1.4721820E+002
 2.0034000E+005, 1.1288468E+002, 1.4723125E+002
 2.0097000E+005, 1.1305874E+002, 1.4724423E+002
 2.0160000E+005, 1.1323197E+002, 1.4725716E+002
 2.0223000E+005, 1.1340440E+002, 1.4727002E+002
 2.0286000E+005, 1.1357602E+002, 1.4728282E+002
 2.0349000E+005, 1.1374683E+002, 1.4729557E+002
 2.0412000E+005, 1.1391684E+002, 1.4730825E+002
 2.0475000E+005, 1.1408605E+002, 1.4732087E+002
 2.0538000E+005, 1.1425447E+002, 1.4733344E+002
 2.0601000E+005, 1.1442210E+002, 1.4734594E+002
 2.0664000E+005, 1.1458895E+002, 1.4735839E+002
 2.0727000E+005, 1.1475501E+002, 1.4737078E+002
 2.0790000E+005, 1.1492029E+002, 1.4738311E+002
 2.0853000E+005, 1.1508480E+002, 1.4739538E+002
 2.0916000E+005, 1.1524854E+002, 1.4740760E+002
 2.0979000E+005, 1.1541151E+002, 1.4741975E+002
 2.1042000E+005, 1.1557371E+002, 1.4743186E+002
 2.1105000E+005, 1.1573516E+002, 1.4744390E+002
 2.1168000E+005, 1.1589585E+002, 1.4745589E+002
 2.1231000E+005, 1.1605578E+002, 1.4746782E+002
 2.1294000E+005, 1.1621496E+002, 1.4747969E+002
 2.1357000E+005, 1.1637340E+002, 1.4749151E+002
